description,decade,polityid,official-human,official-human-retry,human1,human2,gpt4,Llama3.1large,mistral-large2411,run1-llama3.1,run2-llama3.1,run3-llama1.3,run1-gpt4,run2-gpt4,run3-gpt4
"Ögedei Kahn expands the Mongol Empire to Rus (Ukraine). It covered almost all the cental and east Asia plus part of the eastern Europe. His brother Tolui was regent in Mongolia. Mongolian rulers proclamation was made by the powerful shaman Khorchi as a will of Heaven. Elite are warlords, productive population are mostly merchants.",1240,MnMngKh,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hulagu Kahn, son of Tolui, captured Baghdad in 1258 and destroyed the Abbasid caliphate. two lines of succession: sons of Tolui (Möngke, Kublai, Hulagu, Ariq Böke) and sons of Ögedei (Kashin, Kaidu)",1250,MnMngKh,2,1,1,1,1,1,1,1,1,1,2,1,1
"Kahn election in 1260 had rival factions of Kublai, supported by Chinese dynasties and Ariq Böke was supported by the traditionalists of the Mongol Empire. They could not agree and elected both claimants resulting in the Toluid Civil War that fragmented the Mongol Empire.",1260,MnMngKh,2,2,1,2,2,2,3,2,2,2,3,2,0
"The Mongol empire was so vast that they split it into four regions under four Khans: the Golden Horde in Russia, the Chagatai Khanate in Central Asia, the Great Yuan in China and the Il-khanate in Iran and Iraq. Kublai Kahn (r. 1264-1294) reigned over the great Yuan (China, Korea, Mongolia). Use of bombs from 1270s. Unsuccessful naval attack to Japan in 1274.",1270,MnMngKh,2,2,2,2,2,2,3,2,2,2,3,2,1
"Kublai Kahn reformed China as suggested by Chinese advisers: centralized the bureaucracy expanding the circulation of paper money, and maintaining the traditional monopolies on salt and iron. Contacts with Marco Polo and Venetian merchants.",1280,CnYuan*,2,3,3,3,3,3,1,3,3,3,2,3,1
"Kublai Kahn promoted commercial, scientific, and cultural growth. He supported the merchants of the Silk Road trade network by protecting the Mongol postal system. he also cancelled the Confucian exhamination and managed power in autocratic way. Death of Kublai Kahn in 1294",1290,CnYuan*,3,3,3,3,3,3,1,3,3,3,2,3,1
"Temür Khan (r.1294 - 1307) made peace treaty with the western Mongol khanates as well as Vietnam, that payed a tribute as vassal state.",1300,CnYuan*,3,4,3,3,4,4,1,4,4,4,3,4,2
"Külüg Khan (r. 1307-1311) generously gave bonus to imperial princes and Mongol aristocrats, creating severe financial debt and popular discontent. Pope Benedict XII successfully extended a network of Catholic churches throughout the Mongol Empire from Crimea to China starting from 1317",1310,CnYuan*,3,4,4,3,4,4,2,4,4,4,4,4,2
"Buyantu Khan (1311-1320), was a competent emperor that promoted chinese culture, reintroduced Confucian examination and executed corrupted generals. In 1328 a coup involving five princes from rival faction steppe elite opposed to Confucian reforms, placed Yesün Temür as emperor. Revolts started from the Chinese minorities",1320,CnYuan*,4,4,4,3,0,4,3,4,4,4,4,4,3
"Emperor Toghon Temür (r. 1333-1368) crushed revolts and had despotic rule, he made several purges and suspended the imperial examination system. in the 1330s massive flooding of the Yellow River inundated dozen of cities, putting the Grand Canal out of service. Plague and famine devastated the Huai River area. population unrests.",1330,CnYuan*,4,4,4,4,0,4,3,0,0,0,4,0,3
"in 1340 the historian Toqto-a became coucellor of Emperor Toghon Temür. he restored imperial examination system, but oppositors forced him to resign in 1345. Corruption begun again in the end of the decade and Toqto-a was reitegrated. Bubonic plague. epidemic of 1344-46 was called in China great pestilence. Sussman (2011). ""Was the black death in India and China?""",1340,CnYuan*,4,4,4,4,1,4,3,1,1,1,4,0,4
"pirate salt dealers disaffected by the government salt monopoly raised a rebellion that triggered the Red Turban Rebellion in 1351. it grew into a nationwide turmoil. Toqto-a was assembling an army but Emperor Toghon Temür accused him of treason and had to rely on Mongol warlords, that requested more power, weakening central government.",1350,CnYuan*,4,4,4,4,2,4,0,1,1,1,0,0,4
"internal dissensions between the various ordos (political units) and local rebellions led to Mongol Empire disaggregation. In 1368, following the defeat of the Yuan forces by the Ming dynasty, Emperor Toghon Temür retreated to the Mongolian Plateau and continued to rule until 1635 when surrendered to the Later Jin dynasty (which later evolved into the Qing dynasty).",1360,CnYuan*,0,0,0,0,4,0,0,2,2,2,0,0,0
Romolus and Remo killed the usurper Amilius restoring king Numitor of Alba Longa. Foundation of Rome in 753 BC (although there is archaeological evidence for its occupation from 1000 BC). Romolus kills Remo after a strategic dispute. Rome was probably a military fort to control the passage over the Tiber river. The myth of the she-wolf was invented after 300 BC,-750,ItRomRg,1,0,1,1,0,0,0,1,1,1,0,1,1
"southern Lazio had many kingdoms: Alba Longa, Volsci, Sabini, Marsi. Rome was a fort at the border with Etruscans. king Romulus tried to ally with Sabini marrying his chiefs, but when refused raped Sabine women and defeatd Sabini with the help of Numitor of Alba Longa and Lucumo (Etruscan), Sabine women stopped the fight and initiate Sabine-Roman integration",-740,ItRomRg,2,1,1,1,1,0,0,1,1,1,1,1,1
"In Rome Romulus ruled with Tatius of Sabini, formed the senatus (that elect kings), the curiate assembly (votes the laws of the king), the army and the 3 tribes of patricians (nobleman). The policy is to give Roman citizenship to men of all classes. Probably there wa no need for irrigation, but production systems for military purposes was well advanced",-730,ItRomRg,3,1,2,1,1,1,1,2,2,2,1,2,2
"in 720s BC Etruscans  begin the orientalizing period (a heavy influence from the more advanced art of the Eastern Mediterranean style of pottery and motifs). Skirmish between Rome and Veii, Tatius was slain in a riot at Lavinium. Romulus do not want to punish the vassal city. turmoils in the Roman senate.",-720,ItRomRg,4,2,2,2,2,1,1,2,2,2,2,2,2
"death of Romulus in 716 BC, probably by the senate, but not clear. one year of interregnum. Elected Numa Pompilus (r.715–672 BC) of Sabini. he was legitimated by Jupiter omens and was a wise king of peace and humilty who promoted pietas in a society of warriors. introduced the 12 month calendar in 713 BC",-710,ItRomRg,0,2,3,2,3,2,1,2,3,2,2,3,3
"Roman elite were rich noblemen (patrician) called to be horseman warriors (equites) and finance war when needed. population were mostly farmers (plebei) and etruscan merchants, but they had very advanced skills in metalworking (probably they knew how to produce steel) and military strategy. the main goal is to establish clear checks on the power of any single ruler",-700,ItRomRg,1,2,3,3,3,2,1,2,3,2,3,3,3
"many of Rome s most important religious and political institutions are attributed to Numa Pompilius: the cult of Mars, the cult of Jupiter, the cult of Romulus, and the office of pontifex maximus (chief priest of Roman religion open to patrician only)",-690,ItRomRg,2,3,4,3,3,3,1,2,4,3,3,3,4
king Numa Pompilius promoted the cult of Vestal Virgins as a welfare and healthcare institution. possible urbanization. Religious inscriptions discovered at Lavinium.,-680,ItRomRg,2,3,4,3,4,3,1,2,4,3,4,4,4
"king Tullus Hostilius (r. 672–640 BC) was against religious practices and turned the nobilty into warriors. he waged war against Alba Longa, Fidenae, Veii and the Sabines.",-670,ItRomRg,3,4,4,4,4,4,1,3,4,3,4,4,4
battle for Alba Longa. king Tullio Hostilio ordered that triplets of champions from the cities of Alba Longa and Rome battle in mortal combat (Horatii and Curiatii) to save men for the army. Rome won and population of Alba Longa became Roman Citizens.,-660,ItRomRg,4,4,0,0,0,0,1,3,0,3,4,4,0
"construction of the original Roman Senate House, the Curia Hostilia. After the incorporation of leaders from Alba Longa into the senate",-650,ItRomRg,4,4,1,1,1,1,1,3,1,4,0,0,1
death of Tullio Hostilio by disease. For the population he was not keen to worship gods and has been punished by Jupiter. ,-640,ItRomRg,0,0,1,1,1,1,1,3,1,4,1,1,1
king Ancus Marcius (r.640–616 BC) restored the religious practices introduced by Numa Pompilius and promoted a cultural assimilation with the warrior culture of Romans. probably Rome becomes a unitary state in this period. Renew of the primary goal of the early Republic: to establish clear checks on the power of any single ruler,-630,ItRomRg,1,1,1,2,1,2,1,3,2,4,1,1,2
There was a port known as Caere 50km north west of Rome during the Roman Kingdom that is thought to have been built under Ancus Marcius. (Cornell T.J. 1995. The Beginnings of Rome: Italy and Rome from the Bronze Age to the Punic Wars ),-620,ItRomRg,1,1,2,2,1,2,1,3,2,4,2,2,2
king Lucius Tarquinius Priscus (r. 616–578 BC) had Etruscan origins and was adopted by Ancus Marcius. he is the first Roman king to ever actively succeed at lobbying for the throne with the senate.,-610,ItRomRg,1,2,3,3,2,3,1,4,3,4,2,2,3
"Lucius Tarquinius Priscus waged wars against the Sabines and Etruscans, doubling the size of Rome and bringing great treasures to the city. To accommodate the influx of population, the Aventine and Caelian hills were populated.",-600,ItRomRg,2,2,3,4,2,3,1,4,3,4,3,3,3
reforms to add 100 new members to the Senate from the conquered Etruscan tribes bringing the total number of senators to 200. the treasures were used for building the cloaca maxima (the large Roman sewer systems) after a flood,-590,ItRomRg,2,3,3,4,2,4,2,4,4,4,3,3,4
first construction of the Roman Forum and circus maximus for chariot races. ,-580,ItRomRg,2,4,4,4,3,4,2,4,4,4,4,3,4
"the sons of previous king Ancus Marcius organize a riot and kill king Lucius Tarquinius Priscus. However the Tarquinian family gave out that the king was merely wounded, and took advantage of the confusion to establish Servius Tullius (r.578–535 BC) as regent, later gained the throne by popular and royal support bypassing the senate",-570,ItRomRg,3,0,0,0,4,0,2,4,4,0,4,4,4
"king Servius Tullius was a popular king, a former slave of Etruscan origins one of Rome's most significant benefactors. He had military successes against Veii and the Etruscans.",-560,ItRomRg,3,1,1,1,4,1,2,4,0,1,4,4,0
king Servius Tullius instituted the first census. divided the population into five economic classes and formed the Centuriate Assembly (extends the curiate assembly to the representataives of the population). he also distributed land grants to poors to gain popular support. he stimulated elite overproduction.,-550,ItRomRg,3,2,1,1,4,2,3,4,1,1,0,4,1
"Servius Tullius expanded the city -which was protected by a new rampart, moat and wall- to include the Quirinal, Viminal and Esquiline hills. He dedicated a temple to Diana on the Aventine Hill. he wanted to suppress the nexum (voluntary credit contract in which the debitor served the creditor with work if cannot pay off debts) but he failed.",-540,ItRomRg,3,3,1,2,0,2,3,4,1,2,1,0,1
"in 535 BC Tullius Servius was killed in a conspiracy by his daughter Tullia and her husband Lucius Tarquinius Superbus, son of Tarquinius Priscus. He stopped the policies pro-population refused to buryTullius Servius put to death senators loyal to the previous king.",-530,ItRomRg,4,4,2,2,1,3,3,0,2,3,1,1,2
king Lucius Tarquinius Superbus (r. 535-509 BC) called a meeting of the neighbor states to consolidate alliances. Volsci and Gabii that refused the alliance. Tarquinius defeated Volsci at war.,-520,ItRomRg,4,4,3,2,1,3,3,1,2,3,2,1,2
"war against Gabii. initiallythe Romans were losing. Tarquinius sent his son to pretend to engineer a coup against Rome, but when on the battlefield exposed the Gabii to the defeat. Treaties with Etruscans and Aequi. Foundation of colonies in Circei and Signia.",-510,ItRomRg,4,4,4,3,2,4,3,1,3,3,2,2,3
"the king s son Sextus Tarquinius during a battle went back to Rome and raped Lucretia, wife and daughter to powerful Roman nobles. rebellion against Tarquinius Superbus and his family, who fled in exile. Sextus was killed by Gabii, Tarquinius Superbus tried to reconquer Rome with the help of Etruscans but failed, Brutus and Collatinus are elected consuls.",-500,ItRomRg,4,4,0,3,2,0,4,1,0,0,0,0,0
elite are wealthy patrician families holding the senate. population are poor farmers/artisans summonable in military service (had to pay for the weapons). in 495 Volsci attacked. Conflict of the orders (plebei striked to protest against the debt policy of nexum). Agrippa Menenius promised a reform. victory in Battle of Lake Regillus. introduction of the tribunes of the plebs in 493.,-490,ItRomER,0,0,1,3,3,1,0,1,1,1,4,3,3
"Rome-Volscian wars. the Volsci and their allies Aequi have a falling out, and their armies fight as a result, significantly diminishing the strength of each of them. The Romans defeat the Volsci and Aequi in battle. Tribunes of the plebs have right of veto on laws proposed by senate. the Greeks defeat the Carthaginian at Himera in Sicily in 480 BC",-480,ItRomER,1,1,2,4,3,1,1,1,1,1,4,3,3
477 BC: Battle of the Cremera between the Roman Republic and the Etruscan city of Veii. Etruscan win. End of Hallstat culture in Austria and beginning of La Tene culture in Switzerland.,-470,ItRomER,1,1,2,4,4,2,1,2,2,2,3,4,4
Romans of this period did not distinguish between what is today termed secular and sacred authority. Consuls often held both religious and political offices and take aruspices before battles,-460,ItRomER,1,1,2,4,0,2,1,2,2,2,3,4,4
Battle of Mount Algidus in 458 BC the Roman Republic defeats the Aequi in a difficult battle. ,-450,ItRomER,2,2,3,0,1,3,1,2,2,3,2,4,4
introduction of Twelve tables law in 449 BC establishing penalties and procedures for enforcing ritual and customary practices.,-440,ItRomER,2,2,3,1,1,3,1,2,3,3,2,4,4
Battle of Fidenae (437 BC). Romans defeat an alliance of Veii and Fidenae.,-430,ItRomER,2,2,3,2,2,4,1,3,3,4,2,4,0
"equites (financer of the war) were almost always patricians, however by the 5th century BC equestrian status was defined by wealth instead of heredity. Any citizen male above a certain level of property was an eques. war was a sort of investment. ",-420,ItRomER,3,3,4,2,2,4,1,3,3,4,2,4,1
"in 412 BC epidemic of an unknown disease probably influenza was reported in Northern Greece by Hippocrates and in Rome by Livy, The disease outbreak caused a food shortage in the Roman Republic, and a famine was only prevented with food relief from Sicily and Etruria, and via trade missions",-410,ItRomER,3,3,0,3,3,0,1,3,4,4,0,0,2
"in 406 BC the Senate introduce a pay (salarium) for military service during prolonged campains against Veii to compensate the men serving in this struggle for the labor they lost on their family farms. probable financial distress. Gauls occupy the east coast of Italy (Ager Gallicus), and founded the capital of Sena Gallica (current Senigallia)",-400,ItRomER,4,3,1,3,4,1,1,4,4,0,0,0,2
"Marcus Furius Camillus is made dictator (general) and conquers Veii. Rome doubles its territory. after the victory Camillus rejected both the land redistribution and the uncontrolled Roman population of Veii. Consequently, he was impeached and banished from Rome by his political adversaries",-390,ItRomER,4,4,1,3,0,1,1,4,4,1,1,1,3
"The Romans were defeated by Brennus of Senones in the Battle of Allia River in 387 BC. The Senones besieged Rome but probably the health conditions were bad and accepted a ransom in gold and silver to leave the city. Brennus cheated when weighting the gold and Romans, helped by the returned Furius Camillus, defeated Brennus.",-380,ItRomER,0,0,2,4,1,2,1,4,0,1,1,1,3
"elite are rich senators, population are farmers/merchants that become soldiers when needed. ideology is again to check rulers. Camillus celebrated a Triumph in Rome. He was celebrated as the second founder of Rome. in 378 the Servian Wall is constructed around Rome to prevent the city from being captured or sacked. ",-370,ItRomER,1,1,3,4,1,2,1,0,1,2,1,2,4
"Consuls were drawn from the senatorial elite. Financial crisis provoked a second conflict of the orders  367 BC when plebeians for the first time entered the senate. A deadly pestilence struck Rome in the 365 and many Roman notables died including Camillus. His death was deeply mourned, as the second founder of Rome",-360,ItRomER,1,1,4,0,2,3,2,1,1,2,2,2,4
"between 360s and 350s Roman soldiers were provided with protective armour against blows of swords. Both smooth iron helmets and brass-rimmed shields were made. Also, long pikes were distributed to keep the enemy s swords at a distance. new warfare techniques introduced. Romans defeat the Volsci and restore the alliance Latin League (that payed tributes)",-350,ItRomER,1,2,4,1,2,3,2,1,2,3,2,3,4
Rome (dominant in central Italy) and Carthage (dominant in south-west Italy) make a trade agreement under which Carthage will not attack those Latin League cities which are faithful to Rome. Coinage is introduced into Rome for the first time. Samnites wars. Romans win the Battle of Mount Gaurus,-340,ItRomER,2,2,0,1,3,4,2,2,2,3,3,3,0
The Roman consul Titus Manlius Imperiosus Torquatus defeats rebel cities of Latin League in the Battle of Trifanum. Many of the cities of the Latin League are incorporated into the Roman state. ,-330,ItRomER,2,3,1,2,3,4,2,2,2,4,3,4,1
Second samnite wars. Romans are trapped in a mountain pass known as the Caudine Forks (Caudium) near Beneventum and lose the battle. Treaty with harsh terms for Romans. Soldiers were conscripts tax payers with minimum census that had to invest in weapons to fight for a specific period until the reform of 100 BC,-320,ItRomER,3,3,1,2,4,0,2,3,3,4,4,4,2
Romans are badly beaten by Samnites in the Battle of Lautulae. and the first paved road to Capua (via Appia) and the first aqueduct commissioned by Appius Claudius Crassus in 312 BC. Cursus honorum required aspirant consuls to serve the state and finance public goods. abolishment of nexum in 313 BC,-310,ItRomER,3,4,2,3,0,1,2,3,3,4,4,4,2
Romans at Longula win the second samnite war and stop the etruscan revolts. possible financial distress after the contiuous wars,-300,ItRomER,4,4,3,4,1,1,2,4,4,0,4,0,3
"Third samnite war and final Roman victory. They have control of Latium, Campania, Tuscany, Apulia, Basilicata Abruzzo, Lucania and Molise.",-290,ItRomER,4,4,4,4,1,2,2,4,4,1,0,1,3
"uprisings due to debt problems. in 287 BC passes the Lex Hortensia after a secessio plebis. It gives much greater power to the plebeian Assembly compared to the Senate, but patricians begin to control important plebeian families with debts.  Rome helps magna grecia city of Thurii against Tarentum. King Pyrrhus of Epirus and Samnites helps Tarentum. roman defeat",-280,ItRomER,4,4,4,0,2,2,2,4,4,4,0,2,4
"The Carthaginians give Rome money and ships in their fight against Pyrrhus, the king of Epirus (Albania). Pyrrhus combined Tarantine Oscan Samnite and Greek forces to win a Pyrrhic victory against the Romans at the Battle of Asculum in 279 BC. Pyrrhus becomes king of Sicily, but is defeated by Manius Curius Dentatus who also conquers the Lucanians in 275 BC",-270,ItRomER,0,0,0,1,2,2,2,0,0,4,1,2,0
